## Rene Vergara (pitmutt on the forum) | joined ZCAP: May 2022
  - ZGo - The Zcash Register | approved $114,200 | paid $114,200 | first payment Jun 2022
  - ZGo Support 2024 | approved $16,100 | paid $16,100 | first payment Feb 2024
  - Zenith Full Node Wallet | approved $124,800 | paid $124,800 | first payment May 2024
  - ZGo 2025 (Retroactive) | approved $138,800 | paid $138,800 | first payment Dec 2025
## AAmandita | joined ZCAP: July 2025
  - Zcash Brazil 2026 | approved $344,985 | paid $245,650 | first payment Jan 2026
## Robmarn (on the forum) | joined ZCAP: October 2025
  - Zcash Global en Español 2026 | approved $111,100 | paid $75,100 | first payment Feb 2026
  - Zcash Community Media Infrastructure & Support | Zk Av Club 2026 | approved $228,545 | paid $164,394 | first payment Jan 2026
## Dorian | joined ZCAP: May 2025
  - Zaino Respecification, No Delay | approved $54,560 | paid $54,560 | first payment Aug 2025
  - Zaino, The Zallet Release | approved $69,811 | paid $69,811 | first payment Sep 2025
  - Zaino Release Stabilization | approved $200,000 | paid $200,000 | first payment Jun 2026
## Ryan Taylor | joined ZCAP: September 2023
  - Grant Proposal for Zk Av Club Community Support 2025 | approved $60,000 | paid $60,000 | first payment Feb 2025
  - Zcash Community Media Infrastructure & Support | Zk Av Club 2026 | approved $228,545 | paid $164,394 | first payment Jan 2026
## James Katz | joined ZCAP: October 2023
  - Zcash Global <> Zcash Brazil | approved $16,800 | paid $16,800 | first payment Jan 2024
  - Zcash Global <> Zcash Brazil Q2 2024 | approved $16,800 | paid $16,800 | first payment Apr 2024
  - Zcash Global <> Zcash Brazil Q3 2024 | approved $16,800 | paid $16,800 | first payment Jul 2024
  - Zcash Global <> Zcash Brazil - Q4 | approved $12,780 | paid $12,780 | first payment Nov 2024
  - Zcash Brazil | 2025 | approved $206,582 | paid $206,582 | first payment Jan 2025
## Edickson González (Edicksonjga on the forum) | joined ZCAP: September 2023
  - Zcash Global en Español | approved $9,000 | paid $9,000 | first payment Nov 2024
  - Zcash Global en Español 2025 | approved $72,000 | paid $72,000 | first payment Feb 2025
  - Zcash Global en Español 2026 | approved $111,100 | paid $75,100 | first payment Feb 2026
## Yoditar (on the forum) | joined ZCAP: May 2022
  - Zcash Global en Español | approved $9,000 | paid $9,000 | first payment Nov 2024
  - Zcash Global en Español 2025 | approved $72,000 | paid $72,000 | first payment Feb 2025
  - Zcash Global en Español 2026 | approved $111,100 | paid $75,100 | first payment Feb 2026
## Eric Tu | joined ZCAP: May 2025
  - Chainsafe Systems | approved $168,000 | paid $168,000 | first payment Aug 2025
## Taylor Hornby | joined ZCAP: May 2021
  - Zcash Ecosystem Security Lead | approved $158,500 | paid $158,500 | first payment Nov 2022
## Harry Halpin | joined ZCAP: May 2021
  - The Nym mixnet for Network Privacy for Zcash | approved $150,000 | paid $95,000 | first payment Oct 2024
## Olli Tiainen | joined ZCAP: November 2025
  - ZEC-NAM shielded airdrop protocol | approved $150,000 | paid $150,000 | first payment Jan 2026
## Batuhanyldrm | joined ZCAP: November 2024
  - Zcash Global Turkish 2025 | approved $5,700 | paid $5,700 | first payment Jan 2025
  - Zcash Global Turkiye Q2 | approved $10,400 | paid $10,400 | first payment May 2025
  - Zcash Global Türkish 2025 Q3-4 | approved $10,400 | paid $10,400 | first payment Sep 2025
  - Zcash Türkiye 2026 Q1-2 | approved $26,400 | paid $26,400 | first payment Jan 2026
  - Zcash Türkiye – Sustainability and the ZBase Vision | approved $31,000 | paid $31,000 | first payment Feb 2026
  - Zcash Marketing at Istanbul Blockchain Week & Community Activation | approved $15,900 | paid $15,900 | first payment Apr 2026
  - Zcash Türkiye 2026 Q3-4 - 2027 Q1-2-3-4 | approved $26,400 | paid $13,200 | first payment Jun 2026
  - Zcash Turkiye RLAY HUB Event | approved $6,870 | paid $6,870 | first payment Jul 2026
## Chidi | joined ZCAP: November 2022
  - Zcash Nigeria 2025 | approved $9,600 | paid $9,600 | first payment Feb 2025
  - Zcash Nigeria 2025 v.2.0 ( May-july) | approved $9,600 | paid $9,600 | first payment Jun 2025
  - Zcash Nigeria 2025 (August - October) | approved $9,600 | paid $9,600 | first payment Sep 2025
  - Zcash Nigeria 2025 (November - December) | approved $6,400 | paid $6,400 | first payment Dec 2025
  - Zcash Nigeria 2026 | approved $68,600 | paid $43,400 | first payment Mar 2026
## Hardaeborla | joined ZCAP: November 2024
  - Zcash Nigeria 2025 | approved $9,600 | paid $9,600 | first payment Feb 2025
  - Zcash Nigeria 2025 v.2.0 ( May-july) | approved $9,600 | paid $9,600 | first payment Jun 2025
  - Zcash Nigeria 2025 (August - October) | approved $9,600 | paid $9,600 | first payment Sep 2025
  - Zcash Nigeria 2025 (November - December) | approved $6,400 | paid $6,400 | first payment Dec 2025
  - Zcash Nigeria 2026 | approved $68,600 | paid $43,400 | first payment Mar 2026
## Cjfrankie | joined ZCAP: October 2025
  - Zcash Nigeria 2025 (November - December) | approved $6,400 | paid $6,400 | first payment Dec 2025
  - Zcash Nigeria 2026 | approved $68,600 | paid $43,400 | first payment Mar 2026
## emmalexo | joined ZCAP: November 2025
  - Zcash Nigeria 2025 (November - December) | approved $6,400 | paid $6,400 | first payment Dec 2025
  - Zcash Nigeria 2026 | approved $68,600 | paid $43,400 | first payment Mar 2026
## tokidoki (on the forum) | joined ZCAP: December 2021
  - ZecHub | approved $71,590 | paid $71,590 | first payment Mar 2023
## Aescobar Michael | joined ZCAP: June 2026
  - Zcash WalletConnect Integration | approved $50,000 | paid $5,000 | first payment Sep 2026
## 1337bytes (on the forum) | joined ZCAP: May 2022
  - Upgrade BTCPayServer Zcash Plugin for 2.1 | approved $21,600 | paid $21,600 | first payment May 2025
  - BTCPayServer Multi-Account and 0conf Mempool Support | approved $25,200 | paid $25,200 | first payment May 2026
## Tecnopapapi (on the forum) | joined ZCAP: September 2023
  - ZecHub, An open source education hub for Zcash | approved $44,980 | paid $44,980 | first payment Jan 2024
## ZArabia (on the forum) | joined ZCAP: June 2026
  - Zcash Arabia (August to December 2026) | approved $27,000 | paid $11,000 | first payment Aug 2026
## ogasky (on the forum) | joined ZCAP: June 2026
  - Zcash Ghana (July 2026 - September 2026) | approved $12,600 | paid $12,600 | first payment Jul 2026
## Dre | joined ZCAP: June 2026
  - Zcash Onboarding @ Web3Lagos Conference 2026 | approved $8,240 | paid $8,240 | first payment Jul 2026
## Tm3k (on the forum) | joined ZCAP: Before May '21
  - Proposal to fund zcash skydives! | approved $3,300 | paid $3,300 | first payment Nov 2021
  - Twitter Ambassador Program by @_tm3k | approved $4,500 | paid $4,500 | first payment Oct 2025
## Elzz | joined ZCAP: November 2025
  - Zcash Ecosystem Onboarding At Women in DeFi Summit 2026 | approved $4,960 | paid $4,960 | first payment Apr 2026
## gottabeJay (on the forum) | joined ZCAP: May 2022
  - Telegram Anti Scam Bot - Grant Request | approved $700 | paid $700 | first payment May 2023
